"SIG_CD","region_name","solar_altitude_meridian_deg","solar_altitude_09_deg","solar_altitude_12_deg","solar_altitude_15_deg","observations"
"46110","목포시","74.255435","39.810181","71.275725","54.092572","460"
"46130","여수시","74.28663","40.018732","71.388913","53.896413","460"
"46150","순천시","74.172645","39.987464","71.342138","53.913587","460"
"46170","나주시","74.133043","39.86029","71.267899","54.031449","460"
"46230","광양시","74.127754","40.021848","71.359928","53.881377","460"
"46710","담양군","73.949928","39.901703","71.237935","53.970652","460"
"46720","곡성군","73.973442","39.951703","71.268913","53.925761","460"
"46730","구례군","74.021594","39.98058","71.296159","53.903116","460"
"46770","고흥군","74.375978","39.958804","71.384783","53.963587","460"
"46780","보성군","74.279384","39.923188","71.340471","53.987138","460"
"46790","화순군","74.103841","39.904674","71.282138","53.985471","460"
"46800","장흥군","74.333406","39.896051","71.341341","54.019384","460"
"46810","강진군","74.357355","39.873696","71.336341","54.043406","460"
"46820","해남군","74.39837","39.846993","71.333659","54.073659","460"
"46830","영암군","74.262536","39.860399","71.303478","54.045652","460"
"46840","무안군","74.148116","39.823551","71.252935","54.068333","460"
"46860","함평군","74.102899","39.827935","71.242971","54.058804","460"
"46870","영광군","73.976196","39.824928","71.206703","54.046957","460"
"46880","장성군","73.961377","39.868949","71.225","54.00337","460"
"46890","완도군","74.555833","39.875109","71.391667","54.063225","460"
"46900","진도군","74.450181","39.792609","71.318841","54.131123","460"
"46910","신안군","74.091594","39.761848","71.205145","54.120652","460"
"47111","포항시 남구","73.247536","40.81308","71.281558","52.944094","460"
"47113","포항시 북구","73.189891","40.81308","71.281558","52.944094","460"
"47130","경주시","73.344964","40.797174","71.304783","52.971123","460"
"47150","김천시","73.174638","40.613478","71.181232","53.12721","460"
"47170","안동시","72.917971","40.703804","71.143116","53.007862","460"
"47190","구미시","73.186486","40.650652","71.200181","53.092862","460"
"47210","영주시","72.774819","40.681703","71.092536","53.010507","460"
"47230","영천시","73.274819","40.748659","71.265688","53.009457","460"
"47250","상주시","72.820399","40.212826","70.796667","53.419167","460"
"47280","문경시","72.715254","40.214565","70.766957","53.403949","460"
"47290","경산시","73.363551","40.719964","71.280145","53.04779","460"
"47720","군위군","73.113043","40.684928","71.192826","53.05087","460"
"47730","의성군","73.046884","40.703043","71.180507","53.025254","460"
"47750","청송군","72.996993","40.758551","71.187138","52.965254","460"
"47760","영양군","72.858333","40.762717","71.147572","52.943841","460"
"47770","영덕군","73.010036","40.808007","71.209094","52.918986","460"
"47820","청도군","73.470326","40.722029","71.311993","53.058587","460"
"47830","고령군","73.42413","40.644493","71.266413","53.127754","460"
"47840","성주군","73.307174","40.644638","71.232391","53.11337","460"
"47850","칠곡군","73.261196","40.662174","71.226667","53.091232","460"
"47900","예천군","72.870145","40.655725","71.110109","53.048043","460"
"47920","봉화군","72.688841","40.73308","71.086449","52.949529","460"
"47930","울진군","72.663152","40.800797","71.102899","52.881123","460"
"47940","울릉군","71.43471","40.923297","70.220906","52.343116","460"
"48121","창원시 의창구","74.001522","40.902645","71.70337","53.012065","460"
"48123","창원시 성산구","74.001522","40.902645","71.70337","53.012065","460"
"48125","창원시 마산합포구","73.975072","40.857319","71.676667","53.052971","460"
