SIG_CD,Sido,SIG_KOR_NM,한국이름,center_lon,center_lat,solar_09_kst,solar_12_kst,solar_15_kst,solar_day_mean_09_12_15,n_cells,radius_m,method,status,nearest_row,nearest_col,nearest_dist_m,window_cells
41271,경기도,경기도 안산시 상록구,안산시 상록구,126.870815035,37.316003829,238.0636444091797,588.0698852539062,522.2266235351562,449.45338439941406,315,1000.0,centroid_radius_mean,ok,5211,2297,47.15147632415581,120
41273,경기도,경기도 안산시 단원구,안산시 단원구,126.783514814,37.317738221,239.0279083251953,594.5047607421875,529.1253051757812,454.2193247477214,316,1000.0,centroid_radius_mean,ok,5213,2220,33.85266944173852,120
41280,경기도,경기도 고양시,고양시,126.810489587667,37.678703653667,235.22544860839844,574.5211181640625,511.02398681640625,440.25685119628906,314,1000.0,centroid_radius_mean,ok,5614,2245,33.6763498064634,120
41281,경기도,경기도 고양시 덕양구,고양시 덕양구,126.878631823,37.655809868,237.1077880859375,576.02978515625,510.4044494628906,441.18067423502606,315,1000.0,centroid_radius_mean,ok,5588,2305,44.38133938458716,120
41285,경기도,경기도 고양시 일산동구,고양시 일산동구,126.824979113,37.699974485,234.6312255859375,573.1052856445312,506.2546691894531,437.99706013997394,314,1000.0,centroid_radius_mean,ok,5637,2258,62.37885980295194,120
41287,경기도,경기도 고양시 일산서구,고양시 일산서구,126.727857827,37.680326608,234.291748046875,581.1450805664062,514.45166015625,443.29616292317706,311,1000.0,centroid_radius_mean,ok,5616,2172,26.028971039327935,120
41290,경기도,경기도 과천시,과천시,127.002679189,37.433845284,252.45521545410156,596.8170166015625,522.1611328125,457.1444549560547,315,1000.0,centroid_radius_mean,ok,5342,2414,41.82993383255294,120
41310,경기도,경기도 구리시,구리시,127.131231176,37.599218863,241.6615447998047,583.07373046875,503.3113098144531,442.68219502766925,313,1000.0,centroid_radius_mean,ok,5525,2527,47.90567159062262,120
41360,경기도,경기도 남양주시,남양주시,127.243660645,37.662529813,240.0678253173828,576.3848266601562,494.2998352050781,436.91749572753906,311,1000.0,centroid_radius_mean,ok,5596,2626,28.699723577469708,120
41370,경기도,경기도 오산시,오산시,127.051329389,37.163290679,243.8385009765625,589.8380126953125,516.86279296875,450.1797688802083,310,1000.0,centroid_radius_mean,ok,5041,2457,3.542254337767356,120
41390,경기도,경기도 시흥시,시흥시,126.754925648,37.366916473,235.07020568847656,588.5313720703125,527.3322143554688,450.31126403808594,314,1000.0,centroid_radius_mean,ok,5267,2195,47.11749628326678,120
41410,경기도,경기도 군포시,군포시,126.921112298,37.343472325,241.35202026367188,588.7482299804688,525.0299682617188,451.71007283528644,312,1000.0,centroid_radius_mean,ok,5241,2342,25.654416960964248,120
41430,경기도,경기도 의왕시,의왕시,126.989625456,37.362387749,240.3781280517578,587.0244750976562,515.0791015625,447.493901570638,315,1000.0,centroid_radius_mean,ok,5262,2402,40.68323936306704,120
41450,경기도,경기도 하남시,하남시,127.205943566,37.522814569,235.3478240966797,576.1276245117188,498.4555969238281,436.6436818440755,311,1000.0,centroid_radius_mean,ok,5441,2593,28.769885502325742,120
41460,경기도,경기도 용인시,용인시,127.148608356333,37.268070301667,242.62205505371094,584.6055908203125,505.4562072753906,444.2279510498047,313,1000.0,centroid_radius_mean,ok,5158,2543,43.90810271126291,120
41461,경기도,경기도 용인시 처인구,용인시 처인구,127.25293315,37.203331894,239.02745056152344,584.8865356445312,504.4294738769531,442.7811533610026,315,1000.0,centroid_radius_mean,ok,5086,2635,44.56444761613653,120
41463,경기도,경기도 용인시 기흥구,용인시 기흥구,127.121340846,37.267431583,244.69886779785156,586.1792602539062,507.9775695800781,446.2852325439453,312,1000.0,centroid_radius_mean,ok,5157,2519,24.248774622004863,120
41465,경기도,경기도 용인시 수지구,용인시 수지구,127.071551073,37.333447428,250.5487060546875,590.8983764648438,514.3665771484375,451.93788655598956,312,1000.0,centroid_radius_mean,ok,5230,2475,29.289732174772748,120
41480,경기도,경기도 파주시,파주시,126.809355984,37.855538766,232.76499938964844,574.2539672851562,506.2208557128906,437.7466074625651,311,1000.0,centroid_radius_mean,ok,5810,2244,29.245006312806325,120
41500,경기도,경기도 이천시,이천시,127.481014842,37.209784868,239.78463745117188,589.5984497070312,506.3079528808594,445.2303466796875,313,1000.0,centroid_radius_mean,ok,5094,2837,24.450414900020316,120
