station_id,network,longitude,latitude,elevation_m,year,valid_tmax_days,valid_tmin_days,h02_mean_daily_max_c,h03_mean_daily_min_c,h04_heatwave_days,h05_tropical_nights,h06_wsdi_days,h07_annual_max_daily_max_c,h08_tx90p_days,h09_maximum_warm_spell_days,percentile_baseline_status,quality_status
106,ASOS,129.12433,37.50709,40.46,2021,358,358,17.13770949720671,10.115363128491623,0,2,,31.9,,,1991-2020_BASELINE_PENDING,PASS
106,ASOS,129.12433,37.50709,40.46,2022,358,358,17.31340782122905,10.302513966480442,3,6,,33.4,,,1991-2020_BASELINE_PENDING,PASS
106,ASOS,129.12433,37.50709,40.46,2023,358,358,18.007821229050283,11.025977653631287,7,8,,35,,,1991-2020_BASELINE_PENDING,PASS
106,ASOS,129.12433,37.50709,40.46,2024,357,357,18.64705882352941,11.19495798319328,13,21,,37.7,,,1991-2020_BASELINE_PENDING,PASS
106,ASOS,129.12433,37.50709,40.46,2025,358,358,18.34301675977653,10.56424581005587,11,25,,37,,,1991-2020_BASELINE_PENDING,PASS
108,ASOS,126.9658,37.57142,85.67,2021,358,358,18.32150837988827,9.788826815642446,17,19,,36.3,,,1991-2020_BASELINE_PENDING,PASS
108,ASOS,126.9658,37.57142,85.67,2022,358,358,17.875418994413412,9.43826815642458,8,21,,35.6,,,1991-2020_BASELINE_PENDING,PASS
108,ASOS,126.9658,37.57142,85.67,2023,358,358,18.616759776536327,10.234078212290509,15,19,,35.8,,,1991-2020_BASELINE_PENDING,PASS
108,ASOS,126.9658,37.57142,85.67,2024,359,359,19.364345403899716,11.118105849582165,27,42,,36.3,,,1991-2020_BASELINE_PENDING,PASS
108,ASOS,126.9658,37.57142,85.67,2025,358,358,18.456145251396634,10.313966480446929,25,45,,37.6,,,1991-2020_BASELINE_PENDING,PASS
112,ASOS,126.6249,37.47772,68.99,2021,358,358,17.013407821229045,10.195810055865921,7,20,,34,,,1991-2020_BASELINE_PENDING,PASS
112,ASOS,126.6249,37.47772,68.99,2022,358,358,16.160335195530717,9.575139664804464,2,12,,35.1,,,1991-2020_BASELINE_PENDING,PASS
112,ASOS,126.6249,37.47772,68.99,2023,358,358,17.00251396648044,10.394972067039104,3,20,,34.6,,,1991-2020_BASELINE_PENDING,PASS
112,ASOS,126.6249,37.47772,68.99,2024,359,359,17.838440111420606,11.213927576601668,10,43,,35.5,,,1991-2020_BASELINE_PENDING,PASS
112,ASOS,126.6249,37.47772,68.99,2025,358,358,16.894134078212293,10.317597765363132,11,38,,35.6,,,1991-2020_BASELINE_PENDING,PASS
114,ASOS,127.94659,37.33749,150.11,2021,358,358,17.981564245810063,8.506703910614526,14,2,,34.9,,,1991-2020_BASELINE_PENDING,PASS
114,ASOS,127.94659,37.33749,150.11,2022,358,358,17.42430167597765,7.963407821229059,5,11,,34.5,,,1991-2020_BASELINE_PENDING,PASS
114,ASOS,127.94659,37.33749,150.11,2023,358,358,18.366201117318443,8.993296089385478,10,8,,34.1,,,1991-2020_BASELINE_PENDING,PASS
114,ASOS,127.94659,37.33749,150.11,2024,359,359,19.171309192200553,10.33231197771589,20,26,,35.3,,,1991-2020_BASELINE_PENDING,PASS
114,ASOS,127.94659,37.33749,150.11,2025,358,358,18.382960893854744,8.915083798882682,23,20,,36.7,,,1991-2020_BASELINE_PENDING,PASS
115,ASOS,130.89863,37.48129,221.14,2021,356,356,16.483707865168533,11.171910112359546,0,7,,31.8,,,1991-2020_BASELINE_PENDING,PASS
115,ASOS,130.89863,37.48129,221.14,2022,358,358,16.566201117318453,11.188268156424577,0,9,,32.4,,,1991-2020_BASELINE_PENDING,PASS
115,ASOS,130.89863,37.48129,221.14,2023,358,358,17.50446927374302,12.288268156424584,1,21,,33.1,,,1991-2020_BASELINE_PENDING,PASS
115,ASOS,130.89863,37.48129,221.14,2024,359,359,17.407520891364907,12.455153203342617,2,30,,33.4,,,1991-2020_BASELINE_PENDING,PASS
115,ASOS,130.89863,37.48129,221.14,2025,358,358,17.235754189944135,12.172346368715093,1,34,,33.3,,,1991-2020_BASELINE_PENDING,PASS
119,ASOS,126.983,37.25746,39.81,2021,358,358,18.296648044692727,9.08296089385475,15,15,,36.3,,,1991-2020_BASELINE_PENDING,PASS
119,ASOS,126.983,37.25746,39.81,2022,358,358,17.690782122905027,8.526256983240227,7,15,,34.5,,,1991-2020_BASELINE_PENDING,PASS
119,ASOS,126.983,37.25746,39.81,2023,358,358,18.405027932960884,8.986033519553077,14,6,,34.7,,,1991-2020_BASELINE_PENDING,PASS
119,ASOS,126.983,37.25746,39.81,2024,359,359,18.947910863509744,9.938997214484678,23,30,,35,,,1991-2020_BASELINE_PENDING,PASS
119,ASOS,126.983,37.25746,39.81,2025,358,358,18.063966480446926,9.101396648044693,16,24,,36,,,1991-2020_BASELINE_PENDING,PASS
121,ASOS,128.45743,37.18126,240.54,2021,358,358,17.98407821229052,7.2572625698324,14,0,,35.5,,,1991-2020_BASELINE_PENDING,PASS
121,ASOS,128.45743,37.18126,240.54,2022,358,358,17.710614525139658,6.446648044692738,7,1,,34.7,,,1991-2020_BASELINE_PENDING,PASS
121,ASOS,128.45743,37.18126,240.54,2023,358,358,18.387150837988827,7.4159217877094985,11,0,,34.8,,,1991-2020_BASELINE_PENDING,PASS
121,ASOS,128.45743,37.18126,240.54,2024,359,359,18.942339832869084,8.539554317548745,20,1,,36.1,,,1991-2020_BASELINE_PENDING,PASS
121,ASOS,128.45743,37.18126,240.54,2025,358,358,18.11256983240224,6.996927374301679,23,0,,36.7,,,1991-2020_BASELINE_PENDING,PASS
127,ASOS,127.9525,36.97045,114.85,2021,358,358,18.13631284916202,7.503910614525144,15,1,,34.3,,,1991-2020_BASELINE_PENDING,PASS
127,ASOS,127.9525,36.97045,114.85,2022,358,358,17.793575418994408,6.671787709497202,8,8,,34.3,,,1991-2020_BASELINE_PENDING,PASS
127,ASOS,127.9525,36.97045,114.85,2023,358,358,18.682122905027935,7.858938547486032,14,2,,35.2,,,1991-2020_BASELINE_PENDING,PASS
127,ASOS,127.9525,36.97045,114.85,2024,359,359,19.21894150417828,9.095821727019498,29,14,,35,,,1991-2020_BASELINE_PENDING,PASS
127,ASOS,127.9525,36.97045,114.85,2025,354,354,18.480790960451987,7.973446327683617,25,7,,35.6,,,1991-2020_BASELINE_PENDING,PASS
129,ASOS,126.4939,36.77658,25.25,2021,358,358,18.4913407821229,8.731284916201119,15,1,,35.2,,,1991-2020_BASELINE_PENDING,PASS
129,ASOS,126.4939,36.77658,25.25,2022,358,358,17.356703910614513,7.818994413407818,6,12,,34,,,1991-2020_BASELINE_PENDING,PASS
129,ASOS,126.4939,36.77658,25.25,2023,358,358,18.30167597765363,8.896089385474863,10,7,,34.9,,,1991-2020_BASELINE_PENDING,PASS
129,ASOS,126.4939,36.77658,25.25,2024,359,359,18.908913649025045,9.838997214484687,20,33,,35.8,,,1991-2020_BASELINE_PENDING,PASS
129,ASOS,126.4939,36.77658,25.25,2025,358,358,17.96061452513966,8.939385474860334,15,20,,36.3,,,1991-2020_BASELINE_PENDING,PASS
130,ASOS,129.41278,36.99176,48.98,2021,358,358,17.684357541899445,9.545810055865925,0,4,,32,,,1991-2020_BASELINE_PENDING,PASS
130,ASOS,129.41278,36.99176,48.98,2022,358,358,17.72513966480447,9.333798882681554,5,7,,35.3,,,1991-2020_BASELINE_PENDING,PASS
130,ASOS,129.41278,36.99176,48.98,2023,358,358,18.296648044692738,10.204469273743012,4,8,,36.8,,,1991-2020_BASELINE_PENDING,PASS
130,ASOS,129.41278,36.99176,48.98,2024,359,359,18.508356545961004,10.743732590529252,12,16,,36.3,,,1991-2020_BASELINE_PENDING,PASS
130,ASOS,129.41278,36.99176,48.98,2025,358,358,18.55363128491619,10.217877094972073,13,19,,37.7,,,1991-2020_BASELINE_PENDING,PASS
131,ASOS,127.44066,36.63924,58.7,2021,358,358,19.058938547486047,10.215363128491607,20,18,,36,,,1991-2020_BASELINE_PENDING,PASS
131,ASOS,127.44066,36.63924,58.7,2022,358,358,18.727932960893853,9.755586592178778,18,25,,35.7,,,1991-2020_BASELINE_PENDING,PASS
131,ASOS,127.44066,36.63924,58.7,2023,358,358,19.517318435754188,10.68268156424581,21,28,,35.9,,,1991-2020_BASELINE_PENDING,PASS
131,ASOS,127.44066,36.63924,58.7,2024,358,358,20.021508379888257,11.687709497206704,40,46,,36.4,,,1991-2020_BASELINE_PENDING,PASS
131,ASOS,127.44066,36.63924,58.7,2025,358,358,19.39804469273744,10.787988826815626,40,43,,36.7,,,1991-2020_BASELINE_PENDING,PASS
133,ASOS,127.3721,36.37199,67.79,2021,358,358,19.50865921787711,9.785754189944136,20,12,,36,,,1991-2020_BASELINE_PENDING,PASS
133,ASOS,127.3721,36.37199,67.79,2022,358,358,19.0854748603352,8.827374301675977,14,17,,35.5,,,1991-2020_BASELINE_PENDING,PASS
