station_id,longitude,latitude,elevation_m,year,valid_days,heatwave_days,valid_nights,tropical_nights,wsdi_days,maximum_warm_spell_days
155,128.57282,35.17019,34.97,2024,359,36,352,56,0,3
155,128.57282,35.17019,34.97,2025,358,25,351,32,0,3
156,126.89156,35.17294,70.28,2021,358,11,351,12,0,3
156,126.89156,35.17294,70.28,2022,358,9,351,28,0,3
156,126.89156,35.17294,70.28,2023,358,14,351,17,0,4
156,126.89156,35.17294,70.28,2024,359,26,352,37,0,4
156,126.89156,35.17294,70.28,2025,358,35,351,35,0,4
159,129.03203,35.10468,69.56,2021,358,1,351,24,0,3
159,129.03203,35.10468,69.56,2022,358,1,351,24,0,2
159,129.03203,35.10468,69.56,2023,358,4,351,28,0,4
159,129.03203,35.10468,69.56,2024,359,14,352,54,0,4
159,129.03203,35.10468,69.56,2025,358,9,351,52,0,4
162,128.43561,34.84541,31.24,2021,358,4,351,22,0,3
162,128.43561,34.84541,31.24,2022,358,1,350,23,0,2
162,128.43561,34.84541,31.24,2023,357,4,350,18,0,3
162,128.43561,34.84541,31.24,2024,358,17,351,46,0,3
162,128.43561,34.84541,31.24,2025,358,9,351,20,0,4
165,126.38151,34.81732,44.7,2021,358,2,351,19,0,3
165,126.38151,34.81732,44.7,2022,358,3,351,28,0,3
165,126.38151,34.81732,44.7,2023,358,6,351,25,0,4
165,126.38151,34.81732,44.7,2024,359,14,352,49,0,3
165,126.38151,34.81732,44.7,2025,358,13,351,47,0,4
168,127.74063,34.73929,65.93,2021,358,3,351,30,0,2
168,127.74063,34.73929,65.93,2022,358,0,351,26,0,2
168,127.74063,34.73929,65.93,2023,358,3,351,26,0,4
168,127.74063,34.73929,65.93,2024,359,8,352,57,0,3
168,127.74063,34.73929,65.93,2025,358,1,351,46,0,3
169,125.45105,34.68719,75.12,2021,358,0,351,12,0,3
169,125.45105,34.68719,75.12,2022,357,0,351,10,0,2
169,125.45105,34.68719,75.12,2023,358,0,351,2,0,3
169,125.45105,34.68719,75.12,2024,359,19,352,38,0,4
169,125.45105,34.68719,75.12,2025,358,14,351,30,6,6
170,126.70182,34.3959,35.37,2021,356,1,350,9,0,2
170,126.70182,34.3959,35.37,2022,358,1,349,18,0,3
170,126.70182,34.3959,35.37,2023,357,5,349,16,0,4
170,126.70182,34.3959,35.37,2024,353,41,348,41,0,3
170,126.70182,34.3959,35.37,2025,358,41,351,30,0,4
172,126.599,35.34824,52.42,2021,354,15,348,4,0,2
172,126.599,35.34824,52.42,2022,358,7,351,22,0,3
172,126.599,35.34824,52.42,2023,342,12,336,4,0,5
172,126.599,35.34824,52.42,2024,345,35,337,34,0,4
172,126.599,35.34824,52.42,2025,358,24,351,20,0,3
174,127.3694,35.0204,165,2021,358,3,351,0,0,3
174,127.3694,35.0204,165,2022,358,1,351,5,0,3
174,127.3694,35.0204,165,2023,357,6,350,0,7,7
174,127.3694,35.0204,165,2024,359,5,352,3,0,3
174,127.3694,35.0204,165,2025,355,13,349,1,0,3
177,126.68772,36.65759,27.74,2021,358,9,351,1,0,4
177,126.68772,36.65759,27.74,2022,358,6,351,15,0,3
177,126.68772,36.65759,27.74,2023,358,10,351,10,0,5
177,126.68772,36.65759,27.74,2024,359,18,352,29,0,4
177,126.68772,36.65759,27.74,2025,358,20,351,20,0,5
181,127.38458,36.63994,33.55,2022,333,10,327,8,0,2
181,127.38458,36.63994,33.55,2023,358,13,351,0,0,2
181,127.38458,36.63994,33.55,2024,358,8,351,5,0,2
181,127.38458,36.63994,33.55,2025,358,20,351,8,0,2
184,126.52969,33.51411,20.79,2021,358,3,351,46,0,3
184,126.52969,33.51411,20.79,2022,358,22,351,54,0,3
184,126.52969,33.51411,20.79,2023,358,13,351,49,0,4
184,126.52969,33.51411,20.79,2024,359,33,352,73,0,3
184,126.52969,33.51411,20.79,2025,358,23,351,70,0,4
185,126.16283,33.29382,71.39,2021,358,1,351,33,0,3
185,126.16283,33.29382,71.39,2022,358,1,351,38,0,3
185,126.16283,33.29382,71.39,2023,358,1,351,30,0,3
185,126.16283,33.29382,71.39,2024,359,4,352,53,0,2
185,126.16283,33.29382,71.39,2025,358,4,351,52,0,3
188,126.8802,33.38677,20.34,2021,358,0,351,32,0,3
188,126.8802,33.38677,20.34,2022,358,5,351,32,0,3
188,126.8802,33.38677,20.34,2023,358,0,351,35,6,6
188,126.8802,33.38677,20.34,2024,359,2,352,58,0,2
188,126.8802,33.38677,20.34,2025,357,6,350,48,0,4
189,126.5653,33.24616,51.86,2021,358,0,351,33,0,2
189,126.5653,33.24616,51.86,2022,358,1,351,47,0,2
189,126.5653,33.24616,51.86,2023,358,3,351,42,0,3
189,126.5653,33.24616,51.86,2024,359,18,352,69,0,3
189,126.5653,33.24616,51.86,2025,358,16,351,75,0,4
192,128.04004,35.16378,29.35,2021,357,9,350,2,0,3
192,128.04004,35.16378,29.35,2022,355,12,349,16,0,3
192,128.04004,35.16378,29.35,2023,358,12,351,7,6,6
192,128.04004,35.16378,29.35,2024,359,36,352,27,0,3
192,128.04004,35.16378,29.35,2025,358,29,351,5,0,3
201,126.44634,37.70739,47.84,2021,358,6,351,1,0,3
201,126.44634,37.70739,47.84,2022,356,1,350,11,0,3
201,126.44634,37.70739,47.84,2023,358,1,351,1,0,4
201,126.44634,37.70739,47.84,2024,359,1,352,11,6,6
201,126.44634,37.70739,47.84,2025,358,4,351,11,0,3
202,127.49446,37.48863,47.26,2021,358,12,351,0,0,3
202,127.49446,37.48863,47.26,2022,357,4,350,7,0,3
202,127.49446,37.48863,47.26,2023,358,10,351,5,0,4
202,127.49446,37.48863,47.26,2024,359,16,352,21,0,4
202,127.49446,37.48863,47.26,2025,358,17,351,11,0,3
203,127.48421,37.26399,80.09,2021,358,19,351,1,0,4
203,127.48421,37.26399,80.09,2022,358,9,351,11,0,3
203,127.48421,37.26399,80.09,2023,358,19,351,4,0,4
203,127.48421,37.26399,80.09,2024,359,27,352,21,0,4
203,127.48421,37.26399,80.09,2025,358,23,351,11,0,5
211,128.16811,38.05991,202,2021,358,17,351,0,0,3
211,128.16811,38.05991,202,2022,358,6,351,1,0,3
211,128.16811,38.05991,202,2023,358,16,351,0,0,3
211,128.16811,38.05991,202,2024,359,20,352,8,0,4
211,128.16811,38.05991,202,2025,357,8,350,2,0,3
212,127.88043,37.6836,140.2,2021,358,16,351,0,0,4
212,127.88043,37.6836,140.2,2022,358,7,351,3,0,3
212,127.88043,37.6836,140.2,2023,358,17,351,1,0,4
212,127.88043,37.6836,140.2,2024,359,22,352,7,0,4
212,127.88043,37.6836,140.2,2025,352,22,345,1,0,3
216,128.98929,37.17038,714.45,2021,358,0,351,0,0,3
216,128.98929,37.17038,714.45,2022,358,0,350,0,0,3
216,128.98929,37.17038,714.45,2023,357,0,350,0,0,4
216,128.98929,37.17038,714.45,2024,359,2,352,0,0,4
216,128.98929,37.17038,714.45,2025,358,8,351,0,0,3
217,128.67312,37.38071,312,2021,358,17,351,0,0,2
217,128.67312,37.38071,312,2022,358,13,351,1,0,3
217,128.67312,37.38071,312,2023,355,23,348,0,0,3
217,128.67312,37.38071,312,2024,359,42,351,3,0,4
217,128.67312,37.38071,312,2025,354,36,348,2,0,3
221,128.19433,37.15928,264.62,2021,358,6,351,0,0,4
221,128.19433,37.15928,264.62,2022,358,3,351,1,0,4
221,128.19433,37.15928,264.62,2023,358,4,351,0,0,5
221,128.19433,37.15928,264.62,2024,359,10,352,2,6,6
221,128.19433,37.15928,264.62,2025,358,10,351,1,0,3
226,127.73415,36.48761,171.31,2021,358,6,351,0,0,5
226,127.73415,36.48761,171.31,2022,358,4,351,2,0,4
226,127.73415,36.48761,171.31,2023,358,7,351,3,0,4
226,127.73415,36.48761,171.31,2024,358,12,350,3,0,4
226,127.73415,36.48761,171.31,2025,358,10,351,1,0,3
232,127.29282,36.76217,84.78,2021,358,12,351,1,0,3
232,127.29282,36.76217,84.78,2022,358,4,351,10,0,4
232,127.29282,36.76217,84.78,2023,358,10,351,3,0,4
232,127.29282,36.76217,84.78,2024,359,17,351,13,0,4
232,127.29282,36.76217,84.78,2025,357,15,351,2,0,4
235,126.55744,36.32724,9.98,2021,358,4,351,4,0,3
235,126.55744,36.32724,9.98,2022,358,4,351,17,0,3
235,126.55744,36.32724,9.98,2023,358,8,351,10,0,4
235,126.55744,36.32724,9.98,2024,359,27,352,36,0,5
235,126.55744,36.32724,9.98,2025,358,18,351,29,0,5
236,126.92079,36.27242,13.42,2021,358,15,351,1,0,4
236,126.92079,36.27242,13.42,2022,358,10,351,16,0,2
236,126.92079,36.27242,13.42,2023,358,18,351,4,0,4
236,126.92079,36.27242,13.42,2024,359,32,352,24,0,4
236,126.92079,36.27242,13.42,2025,358,24,351,12,6,6
238,127.48175,36.10563,170.17,2021,358,13,351,1,0,4
238,127.48175,36.10563,170.17,2022,357,9,350,4,0,4
238,127.48175,36.10563,170.17,2023,358,10,350,2,0,4
