station_id,network,longitude,latitude,elevation_m,year,valid_tmax_days,valid_tmin_days,h02_mean_daily_max_c,h03_mean_daily_min_c,h04_heatwave_days,h05_tropical_nights,h06_wsdi_days,h07_annual_max_daily_max_c,h08_tx90p_days,h09_maximum_warm_spell_days,baseline_years,percentile_baseline_status,quality_status
129,ASOS,126.4939,36.77658,25.25,2025,358,0,17.96061452513966,,15,0,14,36.3,70,8,30,PASS,INSUFFICIENT_DAYS
130,ASOS,129.41278,36.99176,48.98,2021,358,0,17.684357541899445,,0,0,0,32,48,4,30,PASS,INSUFFICIENT_DAYS
130,ASOS,129.41278,36.99176,48.98,2022,358,0,17.72513966480447,,5,0,0,35.3,56,5,30,PASS,INSUFFICIENT_DAYS
130,ASOS,129.41278,36.99176,48.98,2023,358,0,18.296648044692738,,4,0,0,36.8,61,4,30,PASS,INSUFFICIENT_DAYS
130,ASOS,129.41278,36.99176,48.98,2024,359,0,18.508356545961004,,12,0,6,36.3,72,6,30,PASS,INSUFFICIENT_DAYS
130,ASOS,129.41278,36.99176,48.98,2025,358,0,18.55363128491619,,13,0,13,37.7,80,7,30,PASS,INSUFFICIENT_DAYS
131,ASOS,127.44066,36.63924,58.7,2021,358,0,19.058938547486047,,20,0,12,36,75,6,30,PASS,INSUFFICIENT_DAYS
131,ASOS,127.44066,36.63924,58.7,2022,358,0,18.727932960893853,,18,0,12,35.7,57,6,30,PASS,INSUFFICIENT_DAYS
131,ASOS,127.44066,36.63924,58.7,2023,358,0,19.517318435754188,,21,0,33,35.9,82,8,30,PASS,INSUFFICIENT_DAYS
131,ASOS,127.44066,36.63924,58.7,2024,358,0,20.021508379888257,,40,0,31,36.4,102,11,30,PASS,INSUFFICIENT_DAYS
131,ASOS,127.44066,36.63924,58.7,2025,358,0,19.39804469273744,,40,0,42,36.7,93,8,30,PASS,INSUFFICIENT_DAYS
133,ASOS,127.3721,36.37199,67.79,2021,358,0,19.50865921787711,,20,0,12,36,74,6,30,PASS,INSUFFICIENT_DAYS
133,ASOS,127.3721,36.37199,67.79,2022,358,0,19.0854748603352,,14,0,6,35.5,63,6,30,PASS,INSUFFICIENT_DAYS
133,ASOS,127.3721,36.37199,67.79,2023,358,0,19.42402234636872,,17,0,22,35.4,73,8,30,PASS,INSUFFICIENT_DAYS
133,ASOS,127.3721,36.37199,67.79,2024,359,0,19.964902506963803,,38,0,27,35.9,94,13,30,PASS,INSUFFICIENT_DAYS
