file,indicator_id,dimension,component,indicator_code,indicator_ko,definition,scenario,period,period_ko,period_years,normalized,normalization_min,normalization_max,valid_cells,min,max,mean,std
H_climate_WSDI_SSP245_MT_100m_z.tif,H_climate_WSDI_SSP245_MT_100m_z,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP245,MT,중기,2041-2060,True,44.45595169067383,49.87470245361328,12487,0.0,1.0,0.6147758364677429,0.21876288950443268
H_climate_HW33_SSP245_LT_100m.tif,H_climate_HW33_SSP245_LT_100m,H,미래 기후변화,HW33,폭염일수,33도 이상인 날의 수(연평균),SSP245,LT,장기,2081-2100,False,,,12487,28.44682502746582,52.303367614746094,42.27607345581055,4.400856971740723
H_climate_HW33_SSP245_LT_100m_z.tif,H_climate_HW33_SSP245_LT_100m_z,H,미래 기후변화,HW33,폭염일수,33도 이상인 날의 수(연평균),SSP245,LT,장기,2081-2100,True,28.44682502746582,52.303367614746094,12487,0.0,1.0,0.5796837210655212,0.1844717115163803
H_climate_TR25_SSP245_LT_100m.tif,H_climate_TR25_SSP245_LT_100m,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP245,LT,장기,2081-2100,False,,,12487,22.013648986816406,45.34462356567383,38.60298156738281,3.756669044494629
H_climate_TR25_SSP245_LT_100m_z.tif,H_climate_TR25_SSP245_LT_100m_z,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP245,LT,장기,2081-2100,True,22.013648986816406,45.34462356567383,12487,0.0,1.0,0.7110432386398315,0.16101637482643127
H_climate_WSDI_SSP245_LT_100m.tif,H_climate_WSDI_SSP245_LT_100m,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP245,LT,장기,2081-2100,False,,,12487,62.781002044677734,69.96634674072266,67.1649398803711,1.6297171115875244
H_climate_WSDI_SSP245_LT_100m_z.tif,H_climate_WSDI_SSP245_LT_100m_z,H,미래 기후변화,WSDI,온난일 계속기간,온난일 계속기간,SSP245,LT,장기,2081-2100,True,62.781002044677734,69.96634674072266,12487,0.0,1.0,0.6101217269897461,0.2268112599849701
H_climate_HW33_SSP370_ST_100m.tif,H_climate_HW33_SSP370_ST_100m,H,미래 기후변화,HW33,폭염일수,33도 이상인 날의 수(연평균),SSP370,ST,단기,2021-2040,False,,,12487,10.085700988769531,25.95927619934082,18.27566909790039,3.1823325157165527
H_climate_HW33_SSP370_ST_100m_z.tif,H_climate_HW33_SSP370_ST_100m_z,H,미래 기후변화,HW33,폭염일수,33도 이상인 날의 수(연평균),SSP370,ST,단기,2021-2040,True,10.085700988769531,25.95927619934082,12487,0.0,1.0,0.5159497261047363,0.2004798799753189
H_climate_TR25_SSP370_ST_100m.tif,H_climate_TR25_SSP370_ST_100m,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP370,ST,단기,2021-2040,False,,,12487,4.3538498878479,20.516225814819336,14.900821685791016,2.8234293460845947
H_climate_TR25_SSP370_ST_100m_z.tif,H_climate_TR25_SSP370_ST_100m_z,H,미래 기후변화,TR25,열대야일수,최저기온이 25도 이상인 날의 수(연평균),SSP370,ST,단기,2021-2040,True,4.3538498878479,20.516225814819336,12487,0.0,1.0,0.652563214302063,0.17469148337841034
