grid_id,center_x,center_y,distance_m,distance_z,accessibility_z,nearest_shelter_name,nearest_shelter_no,nearest_shelter_lon,nearest_shelter_lat,nearest_shelter_x_5179,nearest_shelter_y_5179
797,955650.0,1925450.0,1810.382493454675,0.37128007,0.6287199,이목경로당,4111004,126.9846113,37.3157318,954332.8804252825,1924207.9529805586
798,955750.0,1925450.0,1877.2398504417215,0.38499355,0.61500645,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
799,955850.0,1925450.0,1895.0595754211613,0.38864866,0.6113514,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
800,955950.0,1925450.0,1917.9343400399314,0.39334062,0.6066594,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
801,956050.0,1925450.0,1945.6858613387162,0.3990329,0.6009671,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
802,956150.0,1925450.0,1978.108897235528,0.40568334,0.59431666,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
803,956250.0,1925450.0,2014.977952145217,0.41324574,0.58675426,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
804,956350.0,1925450.0,2056.0538626067914,0.4216711,0.5783289,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
805,956450.0,1925450.0,2101.089913413817,0.43090865,0.5690913,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
806,956550.0,1925450.0,2149.837240945988,0.44090748,0.5590925,파장동행정복지센터,4111100111,126.997412,37.310259,955463.8933084551,1923594.690748921
807,956650.0,1925450.0,2142.343680952449,0.43937048,0.5606295,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
808,956750.0,1925450.0,2136.5395405464883,0.43817994,0.56182003,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
809,956850.0,1925450.0,2135.4076822284565,0.43794778,0.56205225,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
810,956950.0,1925450.0,2138.9555232220278,0.4386755,0.5613245,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
811,957050.0,1925450.0,2147.1598662707274,0.44035834,0.55964166,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
812,957150.0,1925450.0,2159.9676507590198,0.4429854,0.5570146,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
813,957250.0,1925450.0,2177.2976400407797,0.44654006,0.55345994,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
814,957350.0,1925450.0,2199.042922348006,0.45100036,0.54899967,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
815,957450.0,1925450.0,2225.0740516509936,0.45633972,0.5436603,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
816,957550.0,1925450.0,2255.2426247151943,0.46252778,0.53747225,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
817,957650.0,1925450.0,2289.385082797123,0.4695309,0.53046906,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
818,957750.0,1925450.0,2327.326538828554,0.4773133,0.5226867,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
819,957850.0,1925450.0,2368.884458840787,0.48583746,0.51416254,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
820,957950.0,1925450.0,2413.872063788617,0.49506512,0.5049349,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
821,958050.0,1925450.0,2462.1013588682385,0.5049577,0.49504232,광교산임광그대가(아)경로당,4111116,127.0127785,37.3077999,956824.1761949915,1923314.7484690521
822,958150.0,1925450.0,2472.869416793181,0.5071664,0.4928336,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
823,958250.0,1925450.0,2428.5784282196005,0.4980816,0.50191844,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
824,958350.0,1925450.0,2387.656426606668,0.4896879,0.5103121,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
825,958450.0,1925450.0,2350.2793963736867,0.48202124,0.5179788,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
826,958550.0,1925450.0,2316.6189307957407,0.475117,0.52488303,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
827,958650.0,1925450.0,2286.8391504484393,0.46900868,0.5309913,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
828,958750.0,1925450.0,2261.0933924821147,0.46372786,0.53627217,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
829,958850.0,1925450.0,2239.5207878090387,0.45930296,0.54069704,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
830,958950.0,1925450.0,2222.24287343471,0.45575902,0.54424095,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
831,959050.0,1925450.0,2209.360409266423,0.4531166,0.5468834,광교대광로제비앙경로당,4111700145,127.0405555,37.3073564,959285.4498524873,1923253.2212708155
