RSTR_FCLTY_NO,RSTR_NM,RN_DTL_ADRES,ARCD,LO,LA,x_5179,y_5179,USE_PSBL_NMPR,FCLTY_TY
4111500114,화서1동경로당,경기도 수원시 팔달구 팔달로119번길 64  (화서동),4111568000,127.0000783,37.2794803,955682.1125402887,1920178.8513952065,20.0,3
4111100114,조원1동행정복지센터,경기도 수원시 장안구 금당로 56 (조원1동행정복지센터),4111159700,127.016529,37.30184,957153.152781463,1922651.8505614465,,1
4111700148,현대(아)경로당,"경기도 수원시 영통구 동수원로 448  (매탄동, 현대아파트)",4111754000,127.0439351,37.2680934,959563.9361161401,1918895.9497629905,24.0,3
4111100108,정자2동행정복지센터,경기도 수원시 장안구 송정로24번길 34 (정자2동주민센터),4111157200,127.000505,37.295011,955729.0394789365,1921901.623894761,20.0,1
4111500116,수원센트럴아이파크자이아파트제1경로당,"경기도 수원시 팔달구 인계로 21  (인계동, )",4111573000,127.0226195,37.2716516,957676.0121552385,1919300.0167185946,,3
4111500113,매교역푸르지오SKVIEW(아)제2경로당,"경기도 수원시 팔달구 인계로 20  (매교동, 매교역푸르지오SK VIEW)",4111565000,127.019484,37.2693058,957396.6989729301,1919041.1824406306,59.0,3
4111500115,꽃뫼경로당,경기도 수원시 팔달구 수성로157번길 35  (화서동),4111569000,126.9892716,37.2876389,954728.9829874102,1921089.0823992952,46.0,3
4111300126,서둔동행정복지센터,경기도 수원시 권선구 서호로 146 (서둔동주민센터),4111356000,126.985983,37.27244,954428.3161894289,1919404.5001947337,20.0,1
4111500124,인계동행정복지센터로비,경기도 수원시 팔달구 인계로 123 (KBS수원방송센타),4111573000,127.032043,37.269307,958510.2069947501,1919035.734283142,,1
4111300128,세류3동행정복지센터,경기도 수원시 권선구 정조로 557 (세류3동주민센터),4111354000,127.011999,37.259176,956727.2671996381,1917920.7862694936,10.0,1
4111500123,행궁동행정복지센터,경기도 수원시 팔달구 신풍로23번길 40 (행궁동주민센터),4111574000,127.012631,37.284004,956797.4982891836,1920674.9015544348,15.0,1
4111300125,곡선동행정복지센터,경기도 수원시 권선구 동수원로146번길 174 (곡선동주민센터),4111369000,127.033215,37.2431,958599.7794553943,1916127.841291178,,1
4111700154,영통구청,경기도 수원시 영통구 효원로 407 (영통구청),4111753000,127.046597,37.259206,959795.2251304733,1917908.8550137472,,1
4111300129,평동행정복지센터,경기도 수원시 권선구 평동로76번길 13 (평동주민센터),4111355000,126.994182,37.258208,955146.7874705646,1917821.6927871022,,1
4111500131,지동행정복지센터,경기도 수원시 팔달구 세지로 339,4111570000,127.024659,37.281516,957862.3318820448,1920393.4575535147,,1
4111300138,주)기와집,경기도 수원시 권선구 서수원로594번길 251,4111370000,126.958372,37.285573,951988.7054640071,1920875.1303192514,,4
4111500132,[생활밀착민간시설]투썸플레이스동수원사거리점,경기도 수원시 팔달구 중부대로 129 (중부빌딩),4111570000,127.030242,37.278389,958355.5296057549,1920044.077137651,,4
4111500121,화서1동행정복지센터,경기도 수원시 팔달구 동말로4번길 10 (화서1동행정복지센터),4111568000,126.994956,37.276562,955226.2907104978,1919857.5084928877,20.0,1
4111700161,매탄1동행정복지센터,경기도 수원시 영통구 인계로189번길 119 (매탄1동주민센터),4111751000,127.040517,37.270525,959262.1855737418,1919167.175947224,10.0,1
4111100113,정자3동행정복지센터,경기도 수원시 장안구 대평로 85 (정자3동주민센터),4111157300,126.992526,37.295821,955022.3265788318,1921995.2508162458,,1
4111700165,매탄2동행정복지센터,경기도 수원시 영통구 매영로39번길 21 (매탄2동주민센터),4111752000,127.047465,37.270255,959878.0562392815,1919134.2532713995,20.0,1
4111700160,광교2동행정복지센터,경기도 수원시 영통구 법조로149번길 155 (광교2동주민센터),4111761000,127.070093,37.292248,961895.3640542796,1921564.7868140377,15.0,1
4111500122,화서2동행정복지센터,경기도 수원시 팔달구 화산로6번길 6 (화서2동주민센터),4111569000,126.986336,37.285112,954467.2466859235,1920810.1578419488,30.0,1
4111100111,파장동행정복지센터,경기도 수원시 장안구 파장천로 60 (파장동주민자치센터),4111156000,126.997412,37.310259,955463.8933084551,1923594.690748921,,1
4111700166,매탄4동행정복지센터,경기도 수원시 영통구 산남로 26-4 (매탄4동주민센터),4111754000,127.048711,37.265102,959985.8010935116,1918562.0559101787,,1
4111300131,세류2동행정복지센터,경기도 수원시 권선구 덕영대로 1107 (세류2동주민센터),4111353000,127.013162,37.253253,956827.0150115408,1917263.1625982246,25.0,1
4111100110,연무동행정복지센터,경기도 수원시 장안구 경수대로 757 (연무동행정복지센터),4111160000,127.021638,37.290463,957599.5472420604,1921387.3847651323,,1
4111300127,권선2동행정복지센터,경기도 수원시 권선구 권중로 85 (권선2동주민센터),4111368000,127.029629,37.251199,958286.1916408908,1917027.9096345436,40.0,1
4111500127,우만1동행정복지센터민생회복소비쿠폰접수처,경기도 수원시 팔달구 세지로 406 (우만1동행정복지센터),4111571000,127.029415,37.285354,958286.0591614913,1920817.1354761722,,1
4111500128,매교동행정복지센터프로그램실,경기도 수원시 팔달구 정조로715번길 17 (매교동공영주차장),4111565000,127.016378,37.27101,957122.2808168345,1919231.6484592874,,1
4111300134,권선1동행정복지센터,경기도 수원시 권선구 경수대로352번길 29 (권선1동주민센터),4111367000,127.024612,37.257679,957844.8782067484,1917749.0175153923,20.0,1
4111700164,매탄3동행정복지센터,경기도 수원시 영통구 동탄원천로881번길 76 (매탄3동주민센터),4111753000,127.043048,37.256402,959479.0195469985,1917599.2956052064,20.0,1
4111700159,망포1동행정복지센터,경기도 수원시 영통구 영통로90번길 4-16 (경민메디칼빌딩),4111759300,127.060812,37.237822,961044.7171583652,1915530.5954529687,,1
4111100106,스마트버스정류장(수원KT위즈파크),경기도 수원시 장안구 경수대로 893 (수원종합운동장(주경기장)),4111159700,127.008903,37.300507,956476.5381190683,1922507.4509273614,10.0,1
4111700162,영통3동행정복지센터,경기도 수원시 영통구 매영로 386 (영통3동행정복지센터),4111758500,127.073822,37.24953,962204.5366434867,1916824.191716401,,1
4111300121,스마트버스정류장(홈플러스서수원점),경기도 수원시 권선구 금곡로 236 (홈플러스),4111366200,126.956119,37.274434,951781.8866787243,1919640.5174455354,10.0,1
4111700167,영통1동행정복지센터,경기도 수원시 영통구 봉영로1759번길 23 (영통1동주민센터),4111757000,127.080561,37.266377,962810.4690175602,1918690.5096821797,10.0,1
4111700155,영통2동행정복지센터,경기도 수원시 영통구 영통로217번길 12 (영통2동주민센터),4111758000,127.056285,37.246937,960647.9166071527,1916543.673829774,30.0,1
4111300123,호매실동행정복지센터,경기도 수원시 권선구 칠보로 161 (호매실동주민센터),4111366400,126.957047,37.266255,951858.952512708,1918732.6693363981,100.0,1
4111300133,권선구청,경기도 수원시 권선구 호매실로 12 (권선구청),4111356000,126.97216,37.257299,953193.4182302735,1917731.513487958,,1
4111700133,광교홍재도서관,경기도 수원시 영통구 대학로 88 (이의동),4111760000,127.0473,37.3032,959880.9218330585,1922789.2270956456,500.0,1
4111167,연합대원(아)경로당,"경기도 수원시 권선구  고산로6번길  45 , 연합대원아파트경로당 (고색동, 대원아파트)",4111355000,126.9847252,37.2483992,954302.2792227251,1916738.0361943946,19.0,3
4111168,온정마을경로당,경기도 수원시 권선구 오목천동 36-5,4111355000,126.9651209,37.251318,952565.4663949044,1917071.4900143284,21.0,3
4111036,정자1동경로당,경기도 수원시 장안구 정자로130번길 20,4111157100,126.9907147,37.3022481,954865.6297047244,1922709.1366623642,29.0,3
4111037,동신1단지경로당,"경기도 수원시 장안구 장안로 232 (정자동, 동신아파트)",4111157100,126.9950089,37.3030703,955246.6842939043,1922798.3101760105,54.0,3
4111038,동신2단지경로당,"경기도 수원시 장안구 장안로 211 (정자동, 동신아파트)",4111157100,126.992725,37.3003073,955042.6344333846,1922492.8663432517,42.0,3
4111039,동신3단지경로당,"경기도 수원시 장안구 장안로 199 (정자동, 동신아파트)",4111157100,126.9951645,37.3006423,955259.0356412783,1922528.8740396919,11.0,3
4111409,성일(아)경로당,"경기도 수원시 영통구  인계로  239   (매탄동, 성일아파트)",4111754000,127.044,37.2649,959567.9830328721,1918541.6487968778,17.0,3
4111410,매탄레이크파크(아)경로당,"경기도 수원시 영통구 매영로 132 (매탄동, 매탄 레이크파크아파트)",4111754000,127.0561552,37.2660784,960646.3636585956,1918667.254819756,21.0,3
4111411,한국2차(아)경로당,"경기도 수원시 영통구 매영로 84 (매탄동, 한국아파트)",4111754000,127.0513809,37.2673933,960223.7381874592,1918815.1250977577,34.0,3
4111053,기로경로당,경기도 수원시 장안구 수성로245번길 68,4111157200,126.9975463,37.2922793,955465.1935430467,1921599.958700026,46.0,3
4111054,정자2동경로당,경기도 수원시 장안구 송정로60번길 10-23,4111157200,127.0025689,37.2955319,955912.2711466191,1921958.4481883647,35.0,3
4111413,삼성2차(아)경로당,"경기도 수원시 영통구 매영로 10 (매탄동, 삼성2차아파트)",4111754000,127.044434,37.2695833,959608.9661735614,1919061.0250365078,29.0,3
4111329,화서4단지(아)경로당,"경기도 수원시 팔달구 덕영대로697번길 48  (화서동, 화서주공아파트)",4111569000,126.9924366,37.2847943,955007.8372697092,1920771.9927141734,20.0,3
