grid_id,gid,lbl,centroid_x,centroid_y,row,col,ADM_CD,ADM_NM,dist_to_admin,SGG_NM,population,single_household_ratio,low_income_ratio_proxy,chronic_disease_ratio_proxy
4716,다사538212,,953850.0,1921250.0,69,47,31013710,화서2동,,팔달구,0.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4717,다사539212,258.0,953950.0,1921250.0,69,48,31013710,화서2동,,팔달구,258.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4718,다사540212,,954050.0,1921250.0,69,49,31013710,화서2동,,팔달구,0.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4719,다사541212,,954150.0,1921250.0,69,50,31013710,화서2동,,팔달구,0.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4720,다사542212,918.0,954250.0,1921250.0,69,51,31013710,화서2동,,팔달구,918.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4721,다사543212,197.0,954350.0,1921250.0,69,52,31013710,화서2동,,팔달구,197.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4722,다사544212,,954450.0,1921250.0,69,53,31013710,화서2동,,팔달구,0.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4723,다사545212,360.0,954550.0,1921250.0,69,54,31013710,화서2동,,팔달구,360.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4724,다사546212,339.0,954650.0,1921250.0,69,55,31013710,화서2동,,팔달구,339.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4725,다사547212,714.0,954750.0,1921250.0,69,56,31011570,정자2동,,장안구,714.0,0.2845758693361433,0.028016436309301458,0.7592805246732982
4726,다사548212,767.0,954850.0,1921250.0,69,57,31011570,정자2동,,장안구,767.0,0.2845758693361433,0.028016436309301458,0.7592805246732982
4727,다사549212,,954950.0,1921250.0,69,58,31011570,정자2동,,장안구,0.0,0.2845758693361433,0.028016436309301458,0.7592805246732982
4728,다사550212,,955050.0,1921250.0,69,59,31011570,정자2동,,장안구,0.0,0.2845758693361433,0.028016436309301458,0.7592805246732982
4729,다사551212,554.0,955150.0,1921250.0,69,60,31011570,정자2동,,장안구,554.0,0.2845758693361433,0.028016436309301458,0.7592805246732982
4730,다사552212,1412.0,955250.0,1921250.0,69,61,31011570,정자2동,,장안구,1412.0,0.2845758693361433,0.028016436309301458,0.7592805246732982
4731,다사553212,403.0,955350.0,1921250.0,69,62,31011570,정자2동,,장안구,403.0,0.2845758693361433,0.028016436309301458,0.7592805246732982
4732,다사554212,216.0,955450.0,1921250.0,69,63,31011570,정자2동,,장안구,216.0,0.2845758693361433,0.028016436309301458,0.7592805246732982
4733,다사555212,225.0,955550.0,1921250.0,69,64,31013710,화서2동,,팔달구,225.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4734,다사556212,592.0,955650.0,1921250.0,69,65,31013710,화서2동,,팔달구,592.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4735,다사557212,194.0,955750.0,1921250.0,69,66,31013710,화서2동,,팔달구,194.0,0.21722928540113984,0.011226357535082367,0.7457652016322571
4736,다사558212,163.0,955850.0,1921250.0,69,67,31011580,영화동,,장안구,163.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4737,다사559212,351.0,955950.0,1921250.0,69,68,31011580,영화동,,장안구,351.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4738,다사560212,165.0,956050.0,1921250.0,69,69,31011580,영화동,,장안구,165.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4739,다사561212,309.0,956150.0,1921250.0,69,70,31011580,영화동,,장안구,309.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4740,다사562212,339.0,956250.0,1921250.0,69,71,31011580,영화동,,장안구,339.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4741,다사563212,485.0,956350.0,1921250.0,69,72,31011580,영화동,,장안구,485.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4742,다사564212,126.0,956450.0,1921250.0,69,73,31011580,영화동,,장안구,126.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4743,다사565212,303.0,956550.0,1921250.0,69,74,31011580,영화동,,장안구,303.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4744,다사566212,287.0,956650.0,1921250.0,69,75,31011580,영화동,,장안구,287.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4745,다사567212,200.0,956750.0,1921250.0,69,76,31011580,영화동,,장안구,200.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4746,다사568212,53.0,956850.0,1921250.0,69,77,31011580,영화동,,장안구,53.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4747,다사569212,,956950.0,1921250.0,69,78,31011580,영화동,,장안구,0.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4748,다사570212,6.0,957050.0,1921250.0,69,79,31011580,영화동,,장안구,6.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4749,다사571212,,957150.0,1921250.0,69,80,31011580,영화동,,장안구,0.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4750,다사572212,104.0,957250.0,1921250.0,69,81,31011580,영화동,,장안구,104.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4751,다사573212,133.0,957350.0,1921250.0,69,82,31011580,영화동,,장안구,133.0,0.4759299781181619,0.08653846153846154,0.7592805246732982
4752,다사574212,220.0,957450.0,1921250.0,69,83,31011610,연무동,,장안구,220.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
4753,다사575212,243.0,957550.0,1921250.0,69,84,31011610,연무동,,장안구,243.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
4754,다사576212,242.0,957650.0,1921250.0,69,85,31011610,연무동,,장안구,242.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
4755,다사577212,,957750.0,1921250.0,69,86,31011610,연무동,,장안구,0.0,0.46050599833709466,0.046507494519817526,0.7592805246732982
4756,다사578212,,957850.0,1921250.0,69,87,31013720,행궁동,,팔달구,0.0,0.5834485482915268,0.08743707594659662,0.7457652016322571
4757,다사579212,33.0,957950.0,1921250.0,69,88,31013540,우만1동,,팔달구,33.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4758,다사580212,265.0,958050.0,1921250.0,69,89,31013540,우만1동,,팔달구,265.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4759,다사581212,275.0,958150.0,1921250.0,69,90,31013540,우만1동,,팔달구,275.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4760,다사582212,314.0,958250.0,1921250.0,69,91,31013540,우만1동,,팔달구,314.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4761,다사583212,267.0,958350.0,1921250.0,69,92,31013540,우만1동,,팔달구,267.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4762,다사584212,124.0,958450.0,1921250.0,69,93,31013540,우만1동,,팔달구,124.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4763,다사585212,,958550.0,1921250.0,69,94,31013540,우만1동,,팔달구,0.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4764,다사586212,,958650.0,1921250.0,69,95,31013540,우만1동,,팔달구,0.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4765,다사587212,,958750.0,1921250.0,69,96,31013540,우만1동,,팔달구,0.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4766,다사588212,,958850.0,1921250.0,69,97,31013540,우만1동,,팔달구,0.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4767,다사589212,,958950.0,1921250.0,69,98,31013540,우만1동,,팔달구,0.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4768,다사590212,,959050.0,1921250.0,69,99,31013540,우만1동,,팔달구,0.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4769,다사591212,,959150.0,1921250.0,69,100,31013540,우만1동,,팔달구,0.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4770,다사592212,,959250.0,1921250.0,69,101,31013540,우만1동,,팔달구,0.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4771,다사593212,,959350.0,1921250.0,69,102,31013540,우만1동,,팔달구,0.0,0.5306227483273289,0.11630344827586207,0.7457652016322571
4772,다사594212,,959450.0,1921250.0,69,103,31014620,광교1동,,영통구,0.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4773,다사595212,,959550.0,1921250.0,69,104,31014620,광교1동,,영통구,0.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4774,다사596212,892.0,959650.0,1921250.0,69,105,31014620,광교1동,,영통구,892.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4775,다사597212,447.0,959750.0,1921250.0,69,106,31014620,광교1동,,영통구,447.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4776,다사598212,,959850.0,1921250.0,69,107,31014620,광교1동,,영통구,0.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4777,다사599212,,959950.0,1921250.0,69,108,31014620,광교1동,,영통구,0.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4778,다사600212,363.0,960050.0,1921250.0,69,109,31014620,광교1동,,영통구,363.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4779,다사601212,,960150.0,1921250.0,69,110,31014620,광교1동,,영통구,0.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
4780,다사602212,163.0,960250.0,1921250.0,69,111,31014620,광교1동,,영통구,163.0,0.3732712583869643,0.00339172496193945,0.7521117761817314
