grid_id,gid,lbl,centroid_x,centroid_y,row,col
246,다사575267,,957550.0,1926750.0,14,84
247,다사576267,,957650.0,1926750.0,14,85
248,다사577267,,957750.0,1926750.0,14,86
249,다사578267,,957850.0,1926750.0,14,87
250,다사579267,,957950.0,1926750.0,14,88
251,다사580267,,958050.0,1926750.0,14,89
252,다사581267,,958150.0,1926750.0,14,90
253,다사582267,,958250.0,1926750.0,14,91
254,다사583267,,958350.0,1926750.0,14,92
255,다사584267,,958450.0,1926750.0,14,93
256,다사556266,,955650.0,1926650.0,15,65
257,다사557266,,955750.0,1926650.0,15,66
258,다사558266,,955850.0,1926650.0,15,67
259,다사559266,,955950.0,1926650.0,15,68
260,다사560266,,956050.0,1926650.0,15,69
261,다사561266,,956150.0,1926650.0,15,70
262,다사562266,,956250.0,1926650.0,15,71
263,다사563266,,956350.0,1926650.0,15,72
264,다사564266,,956450.0,1926650.0,15,73
265,다사565266,,956550.0,1926650.0,15,74
266,다사566266,,956650.0,1926650.0,15,75
267,다사567266,,956750.0,1926650.0,15,76
268,다사568266,,956850.0,1926650.0,15,77
269,다사569266,,956950.0,1926650.0,15,78
270,다사570266,,957050.0,1926650.0,15,79
271,다사571266,N/A,957150.0,1926650.0,15,80
272,다사572266,,957250.0,1926650.0,15,81
273,다사573266,,957350.0,1926650.0,15,82
274,다사574266,,957450.0,1926650.0,15,83
275,다사575266,,957550.0,1926650.0,15,84
276,다사576266,,957650.0,1926650.0,15,85
277,다사577266,,957750.0,1926650.0,15,86
278,다사578266,,957850.0,1926650.0,15,87
279,다사579266,,957950.0,1926650.0,15,88
280,다사580266,,958050.0,1926650.0,15,89
281,다사581266,,958150.0,1926650.0,15,90
282,다사582266,,958250.0,1926650.0,15,91
283,다사583266,,958350.0,1926650.0,15,92
284,다사584266,,958450.0,1926650.0,15,93
285,다사585266,,958550.0,1926650.0,15,94
286,다사554265,,955450.0,1926550.0,16,63
287,다사555265,,955550.0,1926550.0,16,64
288,다사556265,,955650.0,1926550.0,16,65
289,다사557265,,955750.0,1926550.0,16,66
290,다사558265,,955850.0,1926550.0,16,67
291,다사559265,,955950.0,1926550.0,16,68
292,다사560265,,956050.0,1926550.0,16,69
293,다사561265,,956150.0,1926550.0,16,70
294,다사562265,,956250.0,1926550.0,16,71
295,다사563265,,956350.0,1926550.0,16,72
296,다사564265,,956450.0,1926550.0,16,73
297,다사565265,,956550.0,1926550.0,16,74
298,다사566265,,956650.0,1926550.0,16,75
299,다사567265,,956750.0,1926550.0,16,76
300,다사568265,,956850.0,1926550.0,16,77
301,다사569265,,956950.0,1926550.0,16,78
302,다사570265,,957050.0,1926550.0,16,79
303,다사571265,N/A,957150.0,1926550.0,16,80
304,다사572265,N/A,957250.0,1926550.0,16,81
305,다사573265,,957350.0,1926550.0,16,82
306,다사574265,,957450.0,1926550.0,16,83
307,다사575265,,957550.0,1926550.0,16,84
