SIG_CD,한국이름,X,Y
41465,용인시 수지구,127.071551073000,37.333447428000
41480,파주시,126.809355984000,37.855538766000
41500,이천시,127.481014842000,37.209784868000
41550,안성시,127.302722014000,37.035027053000
41570,김포시,126.626467820000,37.681809628000
41591,화성시 만세구,126.824798609000,37.125053912000
41593,화성시 효행구,126.930336882000,37.210954631000
41595,화성시 병점구,127.026623001000,37.213847001000
41597,화성시 동탄구,127.108363531000,37.188669038000
41610,광주시,127.301175674000,37.403090741000
41630,양주시,127.001134626000,37.808657557000
41650,포천시,127.250337003000,37.969778010000
41670,여주시,127.615737345000,37.302458419000
41800,연천군,127.093229193000,38.112797086000
41820,가평군,127.450191853000,37.818433171000
41830,양평군,127.579264183000,37.518055848000
43111,청주시 상당구,127.584881846000,36.592112573000
43112,청주시 서원구,127.438403296000,36.547265055000
43113,청주시 흥덕구,127.369274884000,36.646960767000
43114,청주시 청원구,127.491317617000,36.720578919000
43130,충주시,127.895661987000,37.015196941000
43150,제천시,128.140959020000,37.059911831000
43720,보은군,127.729335394000,36.489949587000
43730,옥천군,127.656558580000,36.320456112000
43740,영동군,127.814227866000,36.159658956000
43745,증평군,127.601035246000,36.799057207000
43750,진천군,127.440463551000,36.870999519000
43760,괴산군,127.829587847000,36.769659024000
43770,음성군,127.533696139000,36.982457728000
43800,단양군,128.387841343000,36.994452762000
44131,천안시 동남구,127.213975884000,36.783442003000
44133,천안시 서북구,127.161809393000,36.892710647000
44150,공주시,127.075219115000,36.479819761000
44180,보령시,126.609191927000,36.325359200000
44200,아산시,126.980078546000,36.807315823000
44210,서산시,126.486372306000,36.753254877000
44230,논산시,127.157716099000,36.190886912000
44250,계룡시,127.234426334000,36.291593696000
44270,당진시,126.654275223000,36.902175321000
44710,금산군,127.478311611000,36.119000806000
44760,부여군,126.856967364000,36.246383896000
44770,서천군,126.704530760000,36.107041941000
44790,청양군,126.853112833000,36.430582958000
44800,홍성군,126.625897416000,36.570107434000
44810,예산군,126.875723629000,36.648037048000
44825,태안군,126.258045192000,36.772753361000
46110,목포시,126.404395654000,34.813234078000
46130,여수시,127.643112462000,34.780113915000
46150,순천시,127.389162261000,34.994746129000
46170,나주시,126.720410042000,34.988589394000
46230,광양시,127.649389740000,35.028548958000
46710,담양군,126.995290578000,35.291495103000
46720,곡성군,127.263582243000,35.216613552000
46730,구례군,127.503118974000,35.236766215000
46770,고흥군,127.317451236000,34.622567627000
46780,보성군,127.160718518000,34.814490445000
46790,화순군,127.033433259000,35.008185725000
46800,장흥군,126.921408055000,34.676854355000
46810,강진군,126.828568946000,34.595476020000
46820,해남군,126.512077671000,34.558893609000
46830,영암군,126.623512700000,34.795821897000
46840,무안군,126.478770194000,34.902955068000
46860,함평군,126.535603901000,35.112670531000
46870,영광군,126.462540790000,35.277900987000
46880,장성군,126.768494621000,35.329564365000
46890,완도군,126.698648078000,34.344748088000
46900,진도군,126.242779757000,34.459269389000
46910,신안군,126.215176309000,35.081332500000
47111,포항시 남구,129.427659023000,35.939961650000
47113,포항시 북구,129.234049483000,36.165054164000
47130,경주시,129.235928977000,35.826642931000
47150,김천시,128.077707272000,36.060423858000
47170,안동시,128.780042406000,36.580242205000
47190,구미시,128.355555202000,36.207309640000
47210,영주시,128.597682270000,36.870475417000
47230,영천시,128.942623738000,36.015778438000
47250,상주시,128.067006745000,36.429502340000
47280,문경시,128.148607897000,36.690791513000
47290,경산시,128.809054872000,35.834060068000
47730,의성군,128.746189769000,36.342149937000
47750,청송군,129.057384902000,36.356976427000
47760,영양군,129.145030791000,36.696379191000
47770,영덕군,129.317375124000,36.482387456000
47820,청도군,128.786762666000,35.654379069000
47830,고령군,128.306449581000,35.736997578000
47840,성주군,128.233392803000,35.907223421000
47850,칠곡군,128.462583548000,36.015511310000
47900,예천군,128.435832620000,36.678787269000
47920,봉화군,128.912979265000,36.934162159000
47930,울진군,129.312349059000,36.903897572000
47940,울릉군,130.861095819000,37.502377819000
48121,창원시 의창구,128.649042210000,35.311614198000
48123,창원시 성산구,128.670562158000,35.212994954000
48125,창원시 마산합포구,128.492764324000,35.143922788000
48127,창원시 마산회원구,128.550495870000,35.243212164000
48129,창원시 진해구,128.737000190000,35.130738357000
48170,진주시,128.129800853000,35.205157645000
