X,Y,id,left,top,right,bottom,row_index,col_index
126.99014905934,37.2879835716659,218,199126.4693,520973.5169,199926.4693,521473.5169,14,7
126.990149646588,37.2834783774511,219,199126.4693,520473.5169,199926.4693,520973.5169,15,7
126.990150233704,37.278973179799,220,199126.4693,519973.5169,199926.4693,520473.5169,16,7
126.99015082069,37.2744679787097,221,199126.4693,519473.5169,199926.4693,519973.5169,17,7
126.990151407546,37.2699627741832,222,199126.4693,518973.5169,199926.4693,519473.5169,18,7
126.99015199427,37.2654575662199,223,199126.4693,518473.5169,199926.4693,518973.5169,19,7
126.990152580865,37.2609523548198,224,199126.4693,517973.5169,199926.4693,518473.5169,20,7
126.990153167329,37.256447139983,225,199126.4693,517473.5169,199926.4693,517973.5169,21,7
126.990153753662,37.2519419217097,226,199126.4693,516973.5169,199926.4693,517473.5169,22,7
126.990154339865,37.2474367000001,227,199126.4693,516473.5169,199926.4693,516973.5169,23,7
126.990154925938,37.2429314748542,228,199126.4693,515973.5169,199926.4693,516473.5169,24,7
126.99015551188,37.2384262462724,229,199126.4693,515473.5169,199926.4693,515973.5169,25,7
126.990156097692,37.2339210142546,230,199126.4693,514973.5169,199926.4693,515473.5169,26,7
126.990156683373,37.229415778801,231,199126.4693,514473.5169,199926.4693,514973.5169,27,7
126.990157268924,37.2249105399118,232,199126.4693,513973.5169,199926.4693,514473.5169,28,7
126.999170089721,37.3510563375995,233,199926.4693,527973.5169,200726.4693,528473.5169,0,8
126.999170139308,37.3465511914571,234,199926.4693,527473.5169,200726.4693,527973.5169,1,8
126.999170188883,37.3420460418753,235,199926.4693,526973.5169,200726.4693,527473.5169,2,8
126.999170238448,37.3375408888543,236,199926.4693,526473.5169,200726.4693,526973.5169,3,8
126.999170288001,37.3330357323942,237,199926.4693,525973.5169,200726.4693,526473.5169,4,8
126.999170337544,37.3285305724951,238,199926.4693,525473.5169,200726.4693,525973.5169,5,8
126.999170387075,37.3240254091572,239,199926.4693,524973.5169,200726.4693,525473.5169,6,8
126.999170436596,37.3195202423806,240,199926.4693,524473.5169,200726.4693,524973.5169,7,8
126.999170486105,37.3150150721655,241,199926.4693,523973.5169,200726.4693,524473.5169,8,8
126.999170535603,37.3105098985121,242,199926.4693,523473.5169,200726.4693,523973.5169,9,8
126.999170585091,37.3060047214203,243,199926.4693,522973.5169,200726.4693,523473.5169,10,8
126.999170634567,37.3014995408905,244,199926.4693,522473.5169,200726.4693,522973.5169,11,8
126.999170684033,37.2969943569228,245,199926.4693,521973.5169,200726.4693,522473.5169,12,8
126.999170733487,37.2924891695172,246,199926.4693,521473.5169,200726.4693,521973.5169,13,8
126.99917078293,37.287983978674,247,199926.4693,520973.5169,200726.4693,521473.5169,14,8
